Chaser,Maleh
תַּגִּיעַ,תגיע
אֵלָיו,אליו
הַיִּרְאָה,היראה
וְהַהַכְנָעָה,וההכנעה
מִפַּחַד,מפחד
וְיֵבוֹשׁ,ויבוש
מִמֶּנּוּ,ממנו
וְגַם,וגם
בְּשָׁכְבוֹ,בשכבו
מִשְׁכָּבוֹ,משכבו
יֵדַע,ידע
מִי,מי
שׁוֹכֵב,שוכב
וּמִיַּד,ומיד
כְּשֶׁיֵעוֹר,כשיעור
מִשְּׁנָתוֹ,משנתו
יִזְכּוֹר,יזכור
חַסְדֵי,חסדי
ה',ה'
יִתְבָּרַךְ,יתברך
שְׁמוֹ,שמו
עָשָׂה,עשה
עִמּוֹ,עמו
שֶׁהֶחְזִיר,שהחזיר
לוֹ,לו
אֶת,את
נִשְׁמָתוֹ,נשמתו
הִפְקִידָהּ,הפקידה
אֶצְלוֹ,אצלו
עֲיֵפָה,עייפה
וְהֶחֱזִירָהּ,והחזירה
חֲדָשָׁה,חדשה
וּרְגוּעָה,ורגועה
כְּדֵי,כדי
לַעֲבוֹד,לעבוד
עֲבוֹדָתוֹ,עבודתו
בְּכָל,בכל
יְכָלְתּוֹ,יכולתו
וּלְשָׁרְתוֹ,ולשרתו
הַיּוֹם,היום
זֶה,זה
שֶׁאָמַר,שאמר
הַכָּתוּב,הכתוב
"""חֲדָשִׁים","""חדשים"
לַבְּקָרִים,לבקרים
רַבָּה,רבה
"אֱמוּנָתֶךָ""","אמונתך"""
איכה,איכה
פֵּרוּשׁ,פירוש
בֹּקֶר,בוקר
נַעֲשֶׂה,נעשה
בְּרִיָּה,בריה
וְיוֹדֶה,ויודה
לְבָבוֹ,לבבו
לְהַשֵּׁם,להשם
זֹאת,זאת
וּבְעוֹדוֹ,ובעודו
יֹאמַר,יאמר
"""מוֹדֶה","""מודה"
לְפָנֶיךָ,לפניך
חַי,חי
וְקַיָּם,וקים
שֶׁהֶחֱזַרְתָּ,שהחזרת
בִּי,בי
נִשְׁמָתִי,נשמתי
בְּחֶמְלָה,בחמלה
וְאַף,ואף
פִּי,פי
שֶׁעֲדַיִן,שעדיין
יָדָיו,ידיו
נְקִיּוֹת,נקיות
יָכוֹל,יכול
לוֹמַר,לומר
כֵּיוָן,כיון
שֶׁאֵין,שאין
בּוֹ,בו
שֵׁם,שם
וְיַפְסִיק,ויפסיק
מְעַט,מעט
בֵּין,בין
תֵּבַת,תיבת
"""בְּחֶמְלָה""","""בחמלה"""
לְתֵבַת,לתיבת
"""רַבָּה""","""רבה"""
"""יְהוּדָה","""יהודה"
בֶּן,בן
תֵּימָא,תימא
אוֹמֵר,אומר
הֱוֵי,הוי
עַז,עז
כַּנָּמֵר,כנמר
וְקַל,וקל
כַּנֶּשֶׁר,כנשר
רָץ,רץ
כַּצְּבִי,כצבי
וְגִבּוֹר,וגבור
כָּאֲרִי,כארי
לַעֲשׂוֹת,לעשות
רְצוֹן,רצון
אָבִיךָ,אביך
"שֶׁבַּשָּׁמַיִם""","שבשמים"""
אבות,אבות
כ,כ
"""עַז","""עז"
"כַּנָּמֵר""","כנמר"""
פֵּרוּשׁוֹ,פרושו
שֶׁלֹּא,שלא
יִתְבַּיֵּשׁ,יתבייש
מִפְּנֵי,מפני
בְּנֵי,בני
אָדָם,אדם
הַמַּלְעִיגִים,המלעיגים
בַּעֲבוֹדַת,בעבודת
"""קַל","""קל"
"כַּנֶּשֶׁר""","כנשר"""
כְּנֶגֶד,כנגד
רְאוּת,ראות
הָעַיִן,העין
שֶׁתְּהֵא,שתהא
קַל,קל
לַעֲצֹם,לעצום
עֵינֶיךָ,עיניך
מֵרְאוֹת,מראות
בְּרָע,ברע
הַתְחָלַת,התחלת
הָעֲבֵרָה,העבירה
רוֹאָה,רואה
וְהַלֵּב,והלב
חוֹמֵד,חומד
וּכְלֵי,וכלי
מַעֲשֶׂה,מעשה
גוֹמְרִין,גומרין
"""רָץ","""רץ"
"כַּצְּבִי""","כצבי"""
הָרַגְלַיִם,הרגליים
לְטוֹב,לטוב
יָרוּצוּ,ירוצו
"""וְגִבּוֹר","""וגבור"
"כָּאֲרִי""","כארי"""
הַלֵּב,הלב
הַגְּבוּרָה,הגבורה
הַבּוֹרֵא,הבורא
הִיא,היא
בַּלֵּב,בלב
וְאָמַר,ואמר
שֶׁתְּחַזֵּק,שתחזק
לִבְּךָ,לבך
בַּעֲבוֹדָתוֹ,בעבודתו
וְתִתְגַּבֵּר,ותתגבר
הַיֵּצֶר,היצר
לְנַצְּחוֹ,לנצחו
כְּגִבּוֹר,כגבור
הַמִּתְגַּבֵּר,המתגבר
שׂוֹנְאוֹ,שונאו
וּלְהַפִּילוֹ,ולהפילו
לָאָרֶץ,לארץ
לָכֵן,לכן
צָרִיךְ,צריך
לְהִתְגַּבֵּר,להתגבר
כַּאֲרִי,כארי
וּמִיָּד,ומיד
"אֲנִי""","אני"""
וְכוּ',וכו'
יָקוּם,יקום
בִּזְרִיזוּת,בזריזות
לַעֲבוֹדַת,לעבודת
וְיִתְעַלֶּה,ויתעלה
קֹדֶם,קודם
שֶׁיִּתְגַּבֵּר,שיתגבר
הָרָע,הרע
בִּטְעָנוֹת,בטענות
וְתוֹאֲנוֹת,ותואנות
לְבַל,לבל
וְיִתְחַכֵּם,ויתחכם
לְהַשִּׂיאוֹ,להשיאו
בַּחֹרֶף,בחרף
אֵיךְ,איך
תָּקוּם,תקום
עַתָּה,עתה
בַּבֹּקֶר,בבוקר
הַשְׁכֵּם,השכם
וְהַקֹּר,והקור
וּבַקַּיִץ,ובקיץ
יַשִּׁיאֶנּוּ,ישיאנו
מִמִּטָּתְךָ,ממטתך
וַעֲדַיִן,ועדיין
שָׂבַעְתָּ,שבעת
מִשְּׁנָתְךָ,משנתך
אוֹ,או
אֲחֵרוֹת,אחרות
וְכַדּוֹמֶה,וכדומה
יוֹדֵעַ,יודע
הֵיטֵב,היטב
לָצוּד,לצוד
בְּמַהֲמֹרוֹת,במהמורות
בַּל,בל
וְלָכֵן,ולכן
בַּעַל,בעל
נֶפֶשׁ,נפש
הַיָּרֵא,הירא
וְחָרֵד,וחרד
לִדְבַר,לדבר
וְלֹא,ולא
יִשְׁמַע,ישמע
אִם,אם
יִכְבַּד,יכבד
הַדָּבָר,הדבר
כְּבֵדוּת,כבדות
הַגּוּף,הגוף
וְעַצְלוּתוֹ,ועצלותו
מְגַמָּתוֹ,מגמתו
מַלְכֵי,מלכי
הַמְּלָכִים,המלכים
וְיָשִׂים,וישים
הָיָה,היה
קוֹרֵא,קורא
אוֹתוֹ,אותו
אֵיזֶה,איזה
לְאֵיזֶה,לאיזה
עֵסֶק,עסק
שֶּׁיַּרְוִיחַ,שירויח
מָמוֹן,ממון
לִגְבּוֹת,לגבות
חוֹבוֹ,חובו
שֶׁהָיָה,שהיה
שֶׁיַּצִּיל,שיציל
מָמוֹנוֹ,ממונו
מִן,מן
הַהֶפְסֵד,ההפסד
כְּגוֹן,כגון
נָפְלָה,נפלה
דְּלֵקָה,דליקה
בָּעִיר,בעיר
אַהֲבַת,אהבת
הִתְרַשֵּׁל,התרשל
לָלֶכֶת,ללכת
קָם,קם
מִתְרַשֵׁל,מתרשל
פֶּן,פן
יַעֲלִילוּ,יעלילו
לִמְצוֹא,למצוא
חֵן,חן
בְּעֵינֵי,בעיני
אַחַת,אחת
כַּמָּה,כמה
וְכַמָּה,וכמה
שֶׁיֵּשׁ,שיש
לְהִזָּהֵר,להיזהר
לָקוּם,לקום
בִּמְהִירוּת,במהירות
וּבִזְרִיזוּת,ובזריזות
וְהַמַּרְגִיל,והמרגיל
עַצְמוֹ,עצמו
בַּדֶּרֶךְ,בדרך
הַזֶּה,הזה
אַרְבַּע,ארבע
חָמֵשׁ,חמש
פְּעָמִים,פעמים
אַחַר,אחר
כָּךְ,כך
וְהַבָּא,והבא
לִטָּהֵר,ליטהר
מְסַיְּעִין,מסייעין
אֶפְשָׁר,אפשר
בַּחֲצוֹת,בחצות
הַלַּיְלָה,הלילה
חֲצוֹת,חצות
"""קוּמִי","""קומי"
רֹנִּי,רוני
בַלַּיְלָה,בלילה
לְרֹאשׁ,לראש
"אַשְׁמֻרוֹת""","אשמורות"""
וְגוֹ',וגו'
יט,יט
וּכְמוֹ,וכמו
מְקוֹנֵן,מקונן
בָּעֵת,בעת
הַהִיא,ההיא
מִמָּרוֹם,ממרום
יִשְׁאַג,ישאג
וּמִמְּעוֹן,וממעון
קָדְשׁוֹ,קדשו
יִתֵּן,יתן
קוֹלוֹ,קולו
שָׁאֹג,שאוג
"נָוֵהוּ""","נוהו"""
כה,כה
ל,ל
וְאוֹמֵר,ואומר
"""אוֹי","""אוי"
לְבָנִים,לבנים
שֶׁבַּעֲוֹנוֹתֵיהֶם,שבעוונותיהם
הֶחֱרַבְתִּי,החרבתי
בֵּיתִי,ביתי
וְשָׂרַפְתִּי,ושרפתי
הֵיכָלִי,היכלי
וְהִגְלֵיתִים,והגליתים
לְבֵין,לבין
"הָאֻמּוֹת""","האומות"""
ברכות,ברכות
וְאִם,ואם
אִי,אי
יִתְגַּבֵּר,יתגבר
הַשַּׁחַר,השחר
דָּוִד,דוד
הַשָּׁלוֹם,השלום
"""אָעִירָה","""אעירה"
"שָׁחַר""","שחר"""
מ,מ
ט,ט
מְעוֹרֵר,מעורר
וְאֵין,ואין
אוֹתִי,אותי
לְאַחַר,לאחר
תִּקּוּן,תיקון
וְאַחַר,ואחר
יַעֲסֹק,יעסוק
כְּפִי,כפי
וְשִׁעוּר,ושיעור
מִשְׁנָיוֹת,משניות
קוֹדֵם,קודם
לְכָל,לכל
דָּבָר,דבר
וְעַל,ועל
יְדֵי,ידי
זוֹכֶה,זוכה
לִנְשָׁמָה,לנשמה
מִשְׁנָה,משנה
אוֹתִיּוֹת,אותיות
נְשָׁמָה,נשמה
אֵינוֹ,אינו
בַּר,בר
הָכִי,הכי
בִּתְהִלִּים,בתהילים
וְסִפְרֵי,וספרי
מוּסָר,מוסר
וְטוֹב,וטוב
בְּכַוָּנָה,בכוונה
מֵהַרְבּוֹת,מהרבות
בְּלֹא,בלא
כַּוָּנָה,כוונה
תָּנָא,תנא
רַבִּי,רבי
חִיָּא,חייא
הָעוֹסֵק,העוסק
בַּלַּיְלָה,בלילה
שְׁכִינָה,שכינה
כְּנֶגְדּוֹ,כנגדו
אַשְׁמֻרוֹת,אשמורות
שִׁפְכִי,שפכי
כַּמַּיִם,כמים
לִבֵּךְ,לבך
נֹכַח,נוכח
פְּנֵי,פני
שֶׁהַשְּׁכִינָה,שהשכינה
כְּנֶגְדְּךָ,כנגדך
עוֹד,עוד
אָמְרוּ,אמרו
שֶׁכָּל,שכל
נִקְרָא,נקרא
"""עֶבֶד","""עבד"
"ה'""","ה'"""
שֶׁכָּתוּב,שכתוב
"""כָּל","""כל"
עַבְדֵי,עבדי
הָעוֹמְדִים,העומדים
בְּבֵית,בבית
"בַּלֵּילוֹת""","בלילות"""
קלד,קלד
וּבַלֵּילוֹת,ובלילות
שֶׁאִי,שאי
לְהַשְׁכִּים,להשכים
הַפָּחוֹת,הפחות
יִתְאַמֵּץ,יתאמץ
בְּעוֹד,בעוד
שֶׁיִּהְיֶה,שיהיה
זְמַן,זמן
לְהָכִין,להכין
לְבֵית,לבית
הַכְּנֶסֶת,הכנסת
לְהִתְפַּלֵּל,להתפלל
הַצִּבּוּר,הציבור
מִזְמוֹרֵי,מזמורי
תְּהִלִּים,תהילים
שְׁאָר,שאר
פָּרָשִׁיּוֹת,פרשיות
מִתּוֹרָה,מתורה
נְבִיאִים,נביאים
וּכְתוּבִים,וכתובים
שֶׁאֵינָם,שאינם
שְׁגוּרִים,שגורים
בְּפִי,בפי
הַכֹּל,הכל
לְאָמְרָם,לאמרם
בְּעַל,בעל
פֶּה,פה
אֲפִלּוּ,אפילו
יֵשׁ,יש
וְסוּמָא,וסומא
מֻתָּר,מותר
לִמְחוֹת,למחות
בְּיַד,ביד
הָאוֹמְרִים,האומרים
תְּחִנּוֹת,תחינות
שֶׁבַּמַּעֲמָדוֹת,שבמעמדות
שֶׁמְסַיְּמִין,שמסיימין
"""בָּרוּךְ","""ברוך"
אַתָּה,אתה
שׁוֹמֵעַ,שומע
"תְּפִלָּה""","תפלה"""
אֶלָּא,אלא
הִלְכוֹת,הלכות
נְטִילַת,נטילת
יָדַיִם,ידים
לְפִי,לפי
שֶׁהָאָדָם,שהאדם
מִמִּטָּתוֹ,ממטתו
שַׁחֲרִית,שחרית
לְהִתְקַדֵּשׁ,להתקדש
וְלִטּוֹל,וליטול
הַכְּלִי,הכלי
כֹּהֵן,כהן
מְקַדֵּשׁ,מקדש
יוֹם,יום
הַכִּיּוֹר,הכיור
וְסֶמֶךְ,וסמך
לִנְטִילָה,לנטילה
זוֹ,זו
הַמִּקְרָא,המקרא
בְּנִקָּיוֹן,בנקיון
כַּפָּי,כפי
וַאֲסֹבְבָה,ואסובבה
מִזְבַּחֲךָ,מזבחך
לַשְׁמִעַ,לשמיע
בְּקוֹל,בקול
וְעוֹד,ועוד
טַעַם,טעם
שֶׁבִּשְׁעַת,שבשעת
שֵׁנָה,שינה
שֶׁנִּסְתַּלְּקָה,שנסתלקה
הַקְּדוֹשָׁה,הקדושה
בָּא,בא
רוּחַ,רוח
הַטֻּמְאָה,הטומאה
וְשׁוֹרֶה,ושורה
גּוּפוֹ,גופו
וּכְשֶׁנֵּעוֹר,וכשניעור
מִסְתַּלֵּק,מסתלק
מִכָּל,ומכל
חוּץ,חוץ
שֶׁאֵינוֹ,שאינו
עוֹבֵר,עובר
מֵעֲלֵיהֶם,מעליהם
עַד,עד
שֶׁשּׁוֹפֵךְ,ששופך
עֲלֵיהֶם,עליהם
שָׁלֹשׁ,שלוש
מַיִם,מים
בְּסֵרוּגִין,בסירוגין
וְאָסוּר,ואסור
לֵילֵךְ,לילך
אַמּוֹת,אמות
בְּלִי,בלי
לְצֹרֶךְ,לצורך
מְאֹד,מאד
יִלְבַּשׁ,ילבוש
מַלְבּוּשׁ,מלבוש
הָרִאשׁוֹן,הראשון
הַטַּלִּית,הטלית
קָטָן,קטן
יֵלֵךְ,ילך
צִיצִת,ציצית
וּלְפִי,ולפי
נְקִיוֹת,נקיות
יְבָרֵךְ,יברך
בְּדֶרֶךְ,בדרך
נוֹטֵל,נוטל
יְמִינוֹ,ימינו
וְנוֹתְנוֹ,ונותנו
לִשְׂמֹאלוֹ,לשמאלו
וְשׁוֹפֵךְ,ושופך
תְּחִלָּה,תחילה
יַד,יד
יְמִין,ימין
בִּימִינוֹ,בימינו
שְׂמֹאל,שמאל
יַעֲשֶׂה,יעשה
לִטְּלָם,ליטלם
פֶּרֶק,פרק
הַזְּרוֹעַ,הזרוע
אַךְ,אך
בִּשְׁעַת,בשעת
הַדְּחָק,הדחק
דַּי,די
קִשְׁרֵי,קשרי
אֶצְבְּעוֹתָיו,אצבעותיו
וְרוֹחֵץ,ורוחץ
פָּנָיו,פניו
לִכְבוֹד,לכבוד
יוֹצְרוֹ,יוצרו
בְּצֶלֶם,בצלם
אֱלֹהִים,אלהים
יִרְחַץ,ירחץ
הָרִירִין,הרירין
שֶׁבְּתוֹכוֹ,שבתוכו
שֶׁצָּרִיךְ,שצריך
לְהַזְכִּיר,להזכיר
הַשֵּׁם,השם
בִּקְדֻשָּׁה,בקדושה
וּבְטָהֳרָה,ובטהרה
מְנַגֵּב,מנגב
לִטּוֹל,ליטול
דַּוְקָא,דווקא
לְתוֹךְ,לתוך
כְּלִי,כלי
לֵהָנוֹת,ליהנות
מִמֵּי,ממי
הַנְּטִילָה,הנטילה
שֶׁרוּחַ,שרוח
רָעָה,רעה
שׁוֹרָה,שורה
וְיִשְׁפְּכֵם,וישפכם
בְּמָקוֹם,במקום
שֶּׁאֵין,שאין
הוֹלְכִין,הולכין
יִגַּע,יגע
נְטִילָה,נטילה
בַּפֶּה,בפה
בַּחֹטֶם,בחוטם
בָעֵינַיִם,בעינים
בָאָזְנַיִם,באזנים
בְפִי,בפי
הַטַּבַּעַת,הטבעת
בְּאוֹכְלִין,באוכלין
בִּמְקוֹם,במקום
הַקָּזָה,הקזה
הַשּׁוֹרָה,השורה
הַיָּדַיִם,הידיים
מַזִּיק,מזיק
לִדְבָרִים,לדברים
אֵלּוּ,אלו
טוֹב,טוב
לְהַקְפִּיד,להקפיד
בִּנְטִילַת,בנטילת
בִּכְלִי,בכלי
וּבְמַיִם,ובמים
וּבְכֹחַ,ובכח
גַּבְרָא,גברא
לִסְעֻדָּה,לסעודה
לְקַמָּן,לקמן
סִימָן,סימן
רוֹצֶה,רוצה
מִתּוֹךְ,מתוך
וּבְכָל,ובכל
מִינֵי,מיני
וּבְלֹא,ובלא
כֹּחַ,כוח
וְיָכוֹל,ויכול
לְבָרֵךְ,לברך
יָדָיִם,ידיים
לְפָנָיו,לפניו
נָהָר,נהר
יוֹתֵר,יותר
שֶׁיִּטְבֹּל,שיטבול
בְּשֶׁלֶג,בשלג
אֲבָל,אבל
יְקַנַּח,יקנח
בְּאֵיזֶה,באיזה
וִיבָרֵךְ,ויברך
נְקִיּוּת,נקיות
וְדַי,ודי
לִתְפִלָּה,לתפילה
וּלְכְשֶיִּזְדַּמֵּן,ולכשיזדמן
וְכֵלִים,וכלים
הָרְאוּיִים,הראויים
יִטּוֹל,יטול
כְּתִיב,כתיב
נַפְשִׁי,נפשי
וְכָל,וכל
קְרָבַי,קרבי
וְכֵיוָן,וכיוון
קְרָבָיו,קרביו
אָסוּר,אסור
שֶׁיְּנַקֶּה,שינקה
הַקְרָבַיִם,הקרבים
מִצּוֹאָה,מצואה
וּמֵי,ומי
רַגְלַיִם,רגלים
מִסְּתָמָא,מסתמא
צְרָכָיו,צרכיו
לְהַשְׁתִּין,להשתין
כֵּן,כן
בִּרְכַּת,ברכת
וְיִּרְחַץ,וירחוץ
פַּעַם,פעם
וְאָז,ואז
וַאֲשֶׁר,ואשר
יָצַר,יצר
וּבִרְכַּת,וברכת
הַתּוֹרָה,התורה
הִשְׁכִּים,השכים
וְנָטַל,ונטל
לַיְלָה,לילה
כְּדִינוֹ,כדינו
וְהָיָה,והיה
עֵר,ער
אוֹר,אור
יָשֵׁן,ישן
שֵׁנִית,שנית
הַיָּשֵׁן,הישן
בַּיּוֹם,ביום
לְעֵרֶךְ,לערך
חֲצִי,חצי
שָׁעָה,שעה
הַנֵעוֹר,הניעור
יָשַׁן,ישן
סָפֵק,ספק
צְרִיכִין,צריכין
כְּדִלְעֵיל,כדלעיל
סְעִיף,סעיף
דְּבָרִים,דברים
בְּמַיִם,במים
הַקָּם,הקם
הַמִּטָּה,המיטה
וְהַיּוֹצֵא,והיוצא
מִבֵּית,מבית
הַכִּסֵּא,הכיסא
וּמִבֵּית,ומבית
הַמֶּרְחָץ,המרחץ
וְהַנּוֹטֵל,והנוטל
צִפָּרְנָיו,ציפורניו
וְהַמְּגַלֵּחַ,והמגלח
שַׂעֲרוֹתָיו,שערותיו
וְהַחוֹלֵץ,והחולץ
מִנְעָלָיו,מנעליו
וְהַמְּשַׁמֵּשׁ,והמשמש
מִטָּתוֹ,מיטתו
וְהַנּוֹגֵעַ,והנוגע
בְּכִנָּה,בכינה
וְהַמְפַלֶה,והמפלה
בְּגָדָיו,בגדיו
נָגַע,נגע
וְהַחוֹפֵף,והחופף
רֹאשׁוֹ,ראשו
בְּגוּפוֹ,בגופו
בִּמְקוֹמוֹת,במקומות
הַמְּכֻסִּים,המכוסים
הַקְּבָרוֹת,הקברות
וְהַמַּלְוֶה,והמלוה
הַמֵּת,המת
שֶׁנִּכְנַס,שנכנס
בְּאֹהֶל,באהל
וְהַמַּקִּיז,והמקיז
דָּם,דם
דִּין,דין
לְבִישַׁת,לבישת
וְהִלּוּכוֹ,והילוכו
וְהַצְנֵעַ,והצנע
לֶכֶת,לכת
אֱלֹהֶיךָ,אלהיך
לְפִיכָךְ,לפיכך
לִהְיוֹת,להיות
צָנוּעַ,צנוע
אֹרְחוֹתָיו,אורחותיו
כְּשֶׁלּוֹבֵשׁ,כשלובש
פּוֹשֵׁט,פושט
חֲלוּקוֹ,חלוקו
בֶּגֶד,בגד
שֶׁעַל,שעל
בְּשָׂרוֹ,בשרו
יְדַקְדֵּק,ידקדק
לְגַלּוֹת,לגלות
יַלְבִּישׁוֹ,ילבישו
וַיַּפְשִׁיטוֹ,ויפשיטו
כְּשֶׁהוּא,כשהוא
מְכֻסֶּה,מכוסה
וְאַל,ואל
הִנְנִי,הנני
בְּחַדְרֵי,בחדרי
חֲדָרִים,חדרים
וּבַחֲשֵׁכָה,ובחשיכה
רוֹאֵנִי,רואני
וְכַחֲשֵׁיכָה,וכחשיכה
כָּאוֹרָה,כאורה
בְּחֻקּוֹת,בחקות
מִתְדַּמִּין,מתדמין
לָהֶם,להם
בְּמַלְבּוּשׁ,במלבוש
בַּשֵּׂעָר,בשיער
וְכַיּוֹצֵא,וכיוצא
תֵלְכוּ,תלכו
וְנֶאֱמַר,ונאמר
לְךָ,לך
תִּנָּקֵשׁ,תנקש
הַמְּיֻחָד,המיוחד
לְשׁוּם,לשום
גֵּאוּת,גאות
שָׂרִים,שרים
וּלְדֻגְמָא,ולדוגמא
הָא,הא
דְּאָמְרִינַן,דאמרינן
בַּגְּמָרָא,בגמרא
דְּאָסוּר,דאסור
לְיִשְׂרָאֵל,לישראל
לְהִתְדַּמּוֹת,להתדמות
אֲפִילוּ,אפילו
בִּרְצוּעוֹת,ברצועות
הַמִּנְעָל,המנעל
שֶׁאִם,שאם
דַּרְכָּם,דרכם
לִקְשֹׁר,לקשר
וְדֶרֶךְ,ודרך
יִשְׂרָאֵל,ישראל
בְּעִנְיָן,בענין
אַחֵר,אחר
מִנְהָגָם,מנהגם
רְצוּעוֹת,רצועות
אֲדֻמּוֹת,אדומות
וְשֶׁל,ושל
שְׁחֹרוֹת,שחורות
מִשּׁוּם,משום
דְּצֶבַע,דצבע
שָׁחֹר,שחור
מוֹרֶה,מורה
עֲנָוָה,ענוה
וְשִׁפְלוּת,ושפלות
וּצְנִיעוּת,וצניעות
לְשַׁנּוֹת,לשנות
וּמִזֶּה,ומזה
יִלְמֹד,ילמד
מְקוֹמוֹ,מקומו
וּשְׁעָתוֹ,ושעתו
שֶׁהַמַּלְבּוּשׁ,שהמלבוש
הֶעָשׂוּי,העשוי
לְיוּהֲרָא,ליוהרא
וּפְרִיצוּת,ופריצות
הַיִּשְׂרָאֵל,הישראל
מַלְבּוּשָׁיו,מלבושיו
יִהְיוּ,יהיו
עֲשׂוּיִן,עשויין
הַמּוֹרֶה,המורה
הַכְנָעָה,הכנעה
אָמְרִינַן,אמרינן
בְּסִפְרִי,בספרי
תֹּאמַר,תאמר
הוֹאִיל,הואיל
וְהֵן,והן
יוֹצְאִין,יוצאין
בְּאַרְגָּמָן,בארגמן
אַף,אף
אֵצֵא,אצא
בְּקוֹלָסִין,בקלוסין
כְּלֵי,כלי
זַיִן,זיין
שֶׁדְּבָרִים,שדברים
הַלָּלוּ,הללו
דִּבְרֵי,דברי
שַׁחַץ,שחץ
וְגַאֲוָה,וגאוה
הֵם,הם
כָאֵלֶּה,כאלה
חֵלֶק,חלק
יַעֲקֹב,יעקב
צְנוּעִים,צנועים
וַעֲנָוִים,וענווים
לִפְנוֹת,לפנות
רְהָבִים,רהבים
שֶׁנָּהֲגוּ,שנהגו
לְמִנְהָג,למנהג
וּלְחֹק,ולחוק
דְּאִיכָּא,דאיכא
לְמֵיחַשׁ,למיחש
שֶׁמֶץ,שמץ
עֲבוֹדַת,עבודת
כּוֹכָבִים,כוכבים
יְגַלֵּחַ,יגלח
יְגַדֵּל,יגדל
שַׂעֲרוֹת,שערות
יְהֵא,יהא
מֻבְדָּל,מובדל
מֵהֶם,מהם
בְּמַלְבּוּשָׁיו,במלבושיו
וּבְדִבּוּרוֹ,ובדיבורו
וּבִשְׁאַר,ובשאר
מַעֲשָׂיו,מעשיו
שֶׁהוּא,שהוא
בְּמַדָּעוֹ,במדעו
וּבְדֵעוֹתָיו,ובדעותיו
אֶתְכֶם,אתכם
בְּגָדִים,בגדים
יְקָרִים,יקרים
מֵבִיא,מביא
לִידֵי,לידי
גַּאֲוָה,גאוה
פְּחוּתִים,פחותים
מְלֻכְלָכִים,מלוכלכים
יִתְבַּזֶּה,יתבזה
הַבְּרִיּוֹת,הבריות
מְמֻצָּעִים,ממוצעים
וּנְקִיִּים,ונקיים
לְעוֹלָם,לעולם
יִמְכֹּר,ימכור
קוֹרוֹת,קורות
בֵּיתוֹ,ביתו
וַיִּקַּח,ויקח
מִנְעָלִים,מנעלים
לְרַגְלָיו,לרגליו
שֶׁמָּצִינוּ,שמצינו
שֶׁהַיָּמִין,שהימין
חֲשׁוּבָה,חשובה
לְעִנְיָן,לעניין
עֲבוֹדָה,עבודה
וּלְעִנְיַן,ולעניין
בֹּהֶן,בוהן
יָד,יד
וּבֹהֶן,ובוהן
רֶגֶל,רגל
שֶׁל,של
מִלּוּאִים,מילואים
מְצוֹרָע,מצורע
מִצְוַת,מצות
חֲלִיצָה,חליצה
בִּלְבִישָׁה,בלבישה
