Chaser,Maleh
פֶּה,פה
ב,ב
כְּתָבָהּ,כתבה
מֹשֶׁה,משה
רַבֵּנוּ,רבנו
קֹדֶם,קודם
שֶׁיָּמוּת,שימות
בִּכְתָב,בכתב
יָדוֹ,ידו
וְנָתַן,ונתן
סֵפֶר,ספר
לְכָל,לכל
שֵׁבֶט,שבט
וְשֵׁבֶט,ושבט
וְסֵפֶר,וספר
אֶחָד,אחד
נְתָנָהוּ,נתנהו
בָּאָרוֹן,בארון
לְעֵד,לעד
"""לָקֹחַ","""לקוח"
אֵת,את
הַזֶּה,הזה
וְשַׂמְתֶּם,ושמתם
אֹתוֹ,אותו
מִצַּד,מצד
אֲרוֹן,ארון
בְּרִית,ברית
אֱלֹהֵיכֶם,אלוהיכם
וְהָיָה,והיה
שָׁם,שם
בְּךָ,בך
"לְעֵד""","לעד"""
דברים,דברים
לא,לא
כו,כו
ג,ג
וְהַמִּצְוָה,והמצוה
שְׁהִיא,שהיא
פֵּרוּשׁ,פירוש
כְתָבָהּ,כתבה
אֵלָא,אלא
צִוָּה,ציווה
בָּהּ,בה
לַזְּקֵנִים,לזקנים
וְלִיהוֹשׁוּעַ,וליהושוע
וְלִשְׁאָר,ולשאר
יִשְׂרָאֵל,ישראל
"""אֵת","""את"
הַדָּבָר,הדבר
אֲשֶׁר,אשר
אָנֹכִי,אנוכי
מְצַוֶּה,מצווה
אֶתְכֶם,אתכם
תִשְׁמְרוּ,תשמרו
"""",""""
יג,יג
וּמִפְּנֵי,ומפני
נִקְרֵאת,נקראת
ד,ד
אַף,אף
שֶׁלֹּא,שלא
נִכְתְּבָה,נכתבה
לִמְּדָהּ,לימדה
כֻּלָּהּ,כולה
בְּבֵית,בבית
דִּינוֹ,דינו
לְשִׁבְעִים,לשבעים
זְקֵנִים,זקנים
וְאֶלְעָזָר,ואלעזר
וּפִינְחָס,ופינחס
וִיהוֹשׁוּעַ,ויהושוע
שְׁלָשְׁתָּן,שלושתן
קִבְּלוּ,קיבלו
מִמֹּשֶׁה,ממשה
שְׁהוּא,שהוא
תַּלְמִידוֹ,תלמידו
מָסַר,מסר
וְצִוָּהוּ,וציווהו
עָלֶיהָ,עליה
וְכֵן,וכן
יְהוֹשׁוּעַ,יהושוע
יְמֵי,ימי
חַיָּיו,חייו
לִמַּד,לימד
ה,ה
וּזְקֵנִים,וזקנים
רַבִּים,רבים
מִיְּהוֹשׁוּעַ,מיהושוע
וְקִבַּל,וקיבל
עֵלִי,עלי
מִן,מן
הַזְּקֵנִים,הזקנים
וּמִפִּינְחָס,ומפינחס
וּשְׁמוּאֵל,ושמואל
קִבַּל,קיבל
מֵעֵלִי,מעלי
וּבֵית,ובית
וְדָוִיד,ודויד
מִשְּׁמוּאֵל,משמואל
וַאֲחִיָּה,ואחייה
הַשִּׁילוֹנִי,השילוני
מִיּוֹצְאֵי,מיוצאי
מִצְרַיִם,מצריים
הָיָה,היה
וְלֵוִי,ולוי
וְשָׁמַע,ושמע
קָטָן,קטן
בִּימֵי,בימי
וְהוּא,והוא
מִדָּוִיד,מדויד
אֵלִיָּהוּ,אלייהו
מֵאֲחִיָּה,מאחייה
וֶאֱלִישָׁע,ואלישע
מֵאֵלִיָּהוּ,מאלייהו
וִיהוֹיָדָע,ויהוידע
הַכּוֹהֵן,הכוהן
מֵאֱלִישָׁע,מאלישע
וּזְכַרְיָהוּ,וזכריהו
מִיְּהוֹיָדָע,מיהוידע
וְהוֹשֵׁעַ,והושע
מִזְּכַרְיָה,מזכריה
וְעָמוֹס,ועמוס
מֵהוֹשֵׁעַ,מהושע
וִישַׁעְיָהוּ,וישעיהו
מֵעָמוֹס,מעמוס
וּמִיכָה,ומיכה
מִיְּשַׁעְיָה,מישעיה
וְיוֹאֵל,ויואל
מִמִּיכָה,ממיכה
וְנַחוּם,ונחום
מִיּוֹאֵל,מיואל
וַחֲבַקּוּק,וחבקוק
מִנַּחוּם,מנחום
וּצְפַנְיָה,וצפניה
מֵחֲבַקּוּק,מחבקוק
וְיִרְמְיָה,וירמיה
מִצְּפַנְיָה,מצפניה
וּבָרוּךְ,וברוך
בֶּן,בן
נֵרִיָּה,נרייה
מִיִּרְמְיָה,מירמיה
וְעֶזְרָא,ועזרא
מִבָּרוּךְ,מברוך
ז,ז
בֵּית,בית
הֶם,הם
הַנִּקְרָאִין,הנקראין
אַנְשֵׁי,אנשי
כְּנֶסֶת,כנסת
הַגְּדוֹלָה,הגדולה
וְהֶם,והם
חַגַּי,חגיי
זְכַרְיָה,זכריה
וּמַלְאָכִי,ומלאכי
וְדָנִיֵּאל,ודנייאל
חֲנַנְיָה,חנניה
מִישָׁאֵל,מישאל
וַעֲזַרְיָה,ועזריה
וּנְחֶמְיָה,ונחמיה
חֲכַלְיָה,חכליה
וּמָרְדֳּכַי,ומורדכיי
וּזְרֻבָּבֶל,וזרובבל
וְהַרְבֵּה,והרבה
חֲכָמִים,חכמים
עִמָּהֶם,עימהם
תַּשְׁלוּם,תשלום
מֵאָה,מאה
וְעֶשְׂרִים,ועשרים
הָאַחֲרוֹן,האחרון
מֵהֶם,מהם
הוּא,הוא
שִׁמְעוֹן,שמעון
הַצַּדִּיק,הצדיק
מִכְּלַל,מכלל
הַמֵּאָה,המאה
מִכֻּלָּן,מכולן
כּוֹהֵן,כוהן
גָּדוֹל,גדול
אַחַר,אחר
עֶזְרָא,עזרא
ח,ח
אַנְטִיגְנוֹס,אנטיגנוס
אִישׁ,איש
שׂוֹכוֹ,שוכו
מִשִּׁמְעוֹן,משמעון
וְיוֹסֵף,ויוסף
יוֹעֶזֶר,יועזר
צְרֵדָה,צרידה
יוֹחָנָן,יוחנן
דִּינָם,דינם
מֵאַנְטִיגְנוֹס,מאנטיגנוס
פְּרַחְיָה,פרחיה
וְנִתַּאי,וניתאי
הָאַרְבֵּלִי,הארבלי
מִיּוֹסֵף,מיוסף
וִיהוּדָה,ויהודה
טָבַאי,טבאי
וְשִׁמְעוֹן,ושמעון
שָׁטָח,שטח
שְׁמַעְיָה,שמעיה
וְאַבְטַלְיוֹן,ואבטליון
גֵּרֵי,גרי
הַצֶּדֶק,הצדק
מִיְּהוּדָה,מיהודה
וְהִלֵּל,והילל
וְשַׁמַּאי,ושמאי
מִשְּׁמַעְיָה,משמעיה
וְרַבַּן,ורבן
זַכַּאי,זכאי
בְּנוֹ,בנו
מֵהִלֵּל,מהילל
ט,ט
חֲמִשָּׁה,חמישה
תַּלְמִידִים,תלמידים
הָיוּ,היו
לְרַבַּן,לרבן
גְּדוֹלֵי,גדולי
הַחֲכָמִים,החכמים
שֶׁקִּבְּלוּ,שקיבלו
מִמֶּנּוּ,ממנו
וְאֵלּוּ,ואלו
רִבִּי,רבי
אֱלִיעֶזֶר,אליעזר
הַגָּדוֹל,הגדול
וְרִבִּי,ורבי
יוֹסֵי,יוסי
נְתַנְאֵל,נתנאל
אֶלְעָזָר,אלעזר
עֲרָךְ,ערך
עֲקִיבָה,עקיבה
יוֹסֵף,יוסף
מֵרִבִּי,מרבי
אָבִיו,אביו
גֵּר,גר
צֶדֶק,צדק
יִשְׁמָעֵאל,ישמעאל
מֵאִיר,מאיר
וְגַם,וגם
וַחֲבֵרָיו,וחבריו
חֲבֵרָיו,חבריו
יְהוּדָה,יהודה
נְחֶמְיָה,נחמיה
שַׁמּוּעַ,שמוע
הַסַּנְדְּלָר,הסנדלר
עַזַּאי,עזאי
תְּרַדְיוֹן,תרדיון
טַרְפוֹן,טרפון
רִבּוֹ,רבו
הַגָּלִילִי,הגלילי
נוּרִי,נורי
יא,יא
רַבַּן,רבן
גַּמְלִיאֵל,גמליאל
הַזָּקֵן,הזקן
מֵרַבַּן,מרבן
הַנִּקְרָא,הנקרא
הַקָּדוֹשׁ,הקדוש
מֵאָבִיו,מאביו
וּמֵרִבִּי,ומרבי
חֲבֵרוֹ,חברו
חִבַּר,חיבר
הַמִּשְׁנָה,המשנה
וּמִיְּמוֹת,ומימות
וְעַד,ועד
חִבְּרוּ,חיברו
חִבּוּר,חיבור
שֶׁמְּלַמְּדִין,שמלמדין
אוֹתוֹ,אותו
בָּרַבִּים,ברבים
בְּתוֹרָה,בתורה
בְּכָל,בכל
דּוֹר,דור
וָדוֹר,ודור
רֹאשׁ,ראש
דִּין,דין
אוֹ,או
נָבִיא,נביא
שֶׁיִּהְיֶה,שיהיה
בְּאוֹתוֹ,באותו
הַדּוֹר,הדור
כּוֹתֵב,כותב
לְעַצְמוֹ,לעצמו
זִכָּרוֹן,זיכרון
בַּשְּׁמוּעוֹת,בשמועות
שֶׁשָּׁמַע,ששמע
מֵרִבּוֹתָיו,מרבותיו
מְלַמֵּד,מלמד
וְאֶחָד,ואחד
כְּפִי,כפי
כּוֹחוֹ,כוחו
מִבֵּאוּר,מביאור
וּמֵהִלְכּוֹתֶיהָ,ומהלכותיה
כְּמוֹ,כמו
וּמִדְּבָרִים,ומדברים
שֶׁנִּתְחַדְּשׁוּ,שנתחדשו
בְּדִינִים,בדינים
לְמָדוּם,למדום
מִפִּי,מפי
הַשְּׁמוּעָה,השמועה
בְּמִדָּה,במידה
מִשְּׁלוֹשׁ,משלוש
עֶשְׂרֵה,עשרה
מִדּוֹת,מידות
וְהִסְכִּימוּ,והסכימו
עֲלֵיהֶן,עליהן
תָּמִיד,תמיד
עַד,עד
יד,יד
קִבַּץ,קבץ
הַשְּׁמוּעוֹת,השמועות
וְכָל,וכל
הַדִּינִין,הדינין
הַבֵּאוּרִין,הביאורין
וְהַפֵּרוּשִׁין,והפירושין
שֶׁשָּׁמְעוּ,ששמעו
וְשֶׁלִּמְּדוּ,ושלמדו
וְחִבַּר,וחיבר
מֵהַכֹּל,מהכול
וְשִׁנְּנוֹ,ושיננו
וְנִגְלָה,ונגלה
וּכְתָבוּהוּ,וכתבוהו
כֻּלָּם,כולם
וְרִבְּצוֹ,וריבצו
מָקוֹם,מקום
כְּדֵי,כדי
תִשְׁתַּכַּח,תשתכח
מִיִּשְׂרָאֵל,מישראל
טו,טו
וְלָמָּה,ולמה
עָשָׂה,עשה
כָּךְ,כך
וְלֹא,ולא
הִנִּיחַ,הניח
כְּמוֹת,כמות
שֶׁהָיָה,שהיה
שֶׁרָאָה,שראה
שֶׁהַתַּלְמִידִים,שהתלמידים
מִתְמַעֲטִים,מתמעטים
וְהוֹלְכִים,והולכים
וְהַצָּרוֹת,והצרות
מִתְחַדְּשׁוֹת,מתחדשות
וּבָאוֹת,ובאות
וּמַמְלֶכֶת,וממלכת
הָרִשְׁעָה,הרשעה
פּוֹשֶׁטֶת,פושטת
בָּעוֹלָם,בעולם
וּמִתְגַּבֶּרֶת,ומתגברת
וְיִשְׂרָאֵל,וישראל
מִתְגַּלְגְּלִים,מתגלגלים
לַקְּצָווֹת,לקצוות
לִהְיוֹת,להיות
בְּיַד,ביד
שֶׁיִּלְמְדוּהוּ,שילמדוהו
בִּמְהֵרָה,במהרה
יִשָּׁכַח,יישכח
וְיָשַׁב,וישב
יָמָיו,ימיו
וְלִמַּד,ולימד
טז,טז
שֶׁהָיוּ,שהיו
וְקִבְּלוּ,וקיבלו
וְגַמְלִיאֵל,וגמליאל
בָּנָיו,בניו
אָפֵס,אפס
חָמָא,חמא
חִיָּא,חייא
וְרָב,ורב
יַנַּאי,ינאי
וּבַר,ובר
קַפָּרָא,קפרא
הוֹשַׁעְיָה,הושעיה
אֵלּוּ,אלו
הַגְּדוֹלִים,הגדולים
וְעִמָּהֶם,ועימהם
אֲלָפִים,אלפים
וּרְבָבוֹת,ורבבות
מִשְּׁאָר,משאר
יז,יז
שֶׁאֵלּוּ,שאלו
הָאַחַד,האחד
עָשָׂר,עשר
מֵרַבֵּנוּ,מרבנו
וְעָמְדוּ,ועמדו
בְּמִדְרָשׁוֹ,במדרשו
וְאַחַר,ואחר
תַּלְמִיד,תלמיד
לְרִבִּי,לרבי
רָב,רב
יח,יח
סִפְרָא,ספרא
וְסִפְרֵי,וספרי
לְבָאַר,לבאר
וּלְהוֹדִיעַ,ולהודיע
עִיקְרֵי,עיקרי
הַתּוֹסֶפְתָּא,התוספתא
עִנְיְנֵי,ענייני
בַּרַּיְתּוֹת,ברייתות
דִּבְרֵי,דברי
הַתַּלְמוּד,התלמוד
הַיְּרוּשְׁלְמִי,הירושלמי
בְּאֶרֶץ,בארץ
חָרְבַּן,חורבן
הַבַּיִת,הבית
בְּקָרוֹב,בקרוב
מֵאוֹת,מאות
שָׁנָה,שנה
יט,יט
וּמִגְּדוֹלֵי,ומגדולי
מֵרָב,מרב
הוּנָא,הונא
נַחְמָן,נחמן
כַּהֲנָא,כהנא
רַבָּה,רבה
בַּר,בר
חָנָה,חנה
אַמֵי,אמי
אַסֵי,אסי
דִּימֵי,דימי
וְרַאבּוּן,וראבון
כ,כ
וּמִכְּלַל,ומכלל
וּמֵרָב,ומרב
מֵרַבָּה,מרבה
אַבַּיֵי,אביי
וְרַבָּא,ורבא
וּשְׁנֵיהֶם,ושניהם
גַּם,גם
מֵרַבָּא,מרבא
אַשֵׁי,אשי
וְרַבִּינָא,ורבינא
וּמָר,ומר
וּמֵרַבִּינָא,ומרבינא
נִמְצָא,נמצא
אַרְבָּעִים,ארבעים
הֶן,הן
מֵעֶזְרָא,מעזרא
כב,כב
כג,כג
כה,כה
כז,כז
כח,כח
כט,כט
ל,ל
לב,לב
לד,לד
לה,לה
לו,לו
לז,לז
לח,לח
מִפִּינְחָס,מפינחס
לט,לט
מ,מ
רִבָּן,רבן
הַנְּבִיאִים,הנביאים
מֵעִם,מעם
אֱלֹהֵי,אלוהי
הַנִּזְכָּרִים,הנזכרים
הַדּוֹרוֹת,הדורות
רָאשֵׁי,ראשי
יְשִׁיבוֹת,ישיבות
וּמֵהֶם,ומהם
גָּלִיּוֹת,גלייות
מִסַּנְהֶדְּרֵי,מסנהדרי
גְּדוֹלָה,גדולה
רַבִּינָא,רבינא
סוֹף,סוף
חַכְמֵי,חכמי
שֶׁחִבַּר,שחיבר
הַבַּבְלִי,הבבלי
שִׁנְעָר,שנער
בִּכְמוֹ,בכמו
וְעִנְיַן,ועניין
שְׁנֵי,שני
הַתַּלְמוּדִין,התלמודין
וּבֵאוּר,וביאור
עֲמוּקוֹתֶיהָ,עמוקותיה
וּדְבָרִים,ודברים
מִיְּמוֹת,מימות
וּמִשְּׁנֵי,ומשני
וּמִן,ומן
וּמִסִּפְרָא,ומספרא
וּמִסִּפְרֵי,ומספרי
הַתּוֹסֶפְתּוֹת,התוספתות
מִכֻּלָּם,מכולם
יִתְבָּאַר,יתבאר
הָאָסוּר,האסור
וְהַמֻּתָּר,והמותר
וְהַטָּמֵא,והטמא
וְהַטָּהוֹר,והטהור
וְהַחַיָּב,והחייב
וְהַפָּטוּר,והפטור
וְהַכָּשֵׁר,והכשר
וְהַפָּסוּל,והפסול
שֶׁהִעְתִּיקוּ,שהעתיקו
מִסִּינַי,מסיניי
דְּבָרִים,דברים
שֶׁגָּזְרוּ,שגזרו
וּנְבִיאִים,ונביאים
שֶׁבְּכָל,שבכל
סְיָג,סייג
לַתּוֹרָה,לתורה
בְּפֵרוּשׁ,בפירוש
"""וּשְׁמַרְתֶּם","""ושמרתם"
"מִשְׁמַרְתִּי""","משמרתי"""
ויקרא,ויקרא
שֶׁאָמַר,שאמר
עֲשׂוּ,עשו
מִשְׁמֶרֶת,משמרת
לְמִשְׁמַרְתִּי,למשמרתי
הַמִּנְהָגוֹת,המנהגות
וְהַתַּקָּנוֹת,והתקנות
שֶׁהִתְקִינוּ,שהתקינו
שֶׁנָּהֲגוּ,שנהגו
שֶׁרָאוּ,שראו
שֶׁאָסוּר,שאסור
לָסוּר,לסור
"""לֹא","""לא"
תָסוּר,תסור
מִכָּל,מכל
יַגִּידוּ,יגידו
יָמִין,ימין
"וּשְׂמֹאל""","ושמאל"""
ראה,ראה
מִשְׁפָּטִים,משפטים
וְדִינִין,ודינין
פִּלְאִיִּים,פלאיים
אוֹתָן,אותן
וְדָנוּ,ודנו
בָּהֶן,בהן
בַּמִּדּוֹת,במידות
שֶׁהַתּוֹרָה,שהתורה
נִדְרֶשֶׁת,נדרשת
וּפָסְקוּ,ופסקו
וְגָמְרוּ,וגמרו
שֶׁהַדִּין,שהדין
הַכֹּל,הכול
בַּתַּלְמוּד,בתלמוד
וְחִבְּרוּ,וחיברו
מִשְׁנָה,משנה
חִבּוּרִין,חיבורין
אֲחֵרִים,אחרים
לְפָרַשׁ,לפרש
בֵּאוּר,ביאור
בְּרֵאשִׁית,בראשית
פֵּרַשׁ,פירש
מֵאֵלֶּה,מאלה
שְׁמוֹת,שמות
מְכִלְּתָא,מכילתא
וַחֲכָמִים,וחכמים
אַחֲרֵיהֶם,אחריהם
מִדְרָשׁוֹת,מדרשות
וְהַכֹּל,והכול
חֻבַּר,חובר
וְחַבְרֵיהֶם,וחבריהם
הַמַּעְתִּיקִים,המעתיקים
וְשֶׁגָּזְרוּ,ושגזרו
גְּזֵרוֹת,גזירות
וְהִתְקִינוּ,והתקינו
תַּקָּנוֹת,תקנות
וְהִנְהִיגוּ,והנהיגו
מִנְהָגוֹת,מנהגות
וּפָשְׁטוּ,ופשטו
גְּזֵרוֹתָם,גזירותם
וְתַקָּנוֹתָם,ותקנותם
וּמִנְהֲגוֹתָם,ומנהגותם
מְקוֹמוֹת,מקומות
מוֹשְׁבוֹתֵיהֶם,מושבותיהם
וּגְמָרוֹ,וגמרו
נִתְפַּזְּרוּ,נתפזרו
הָאֲרָצוֹת,הארצות
פִּזּוּר,פיזור
יָתֵר,יתר
וְהִגִּיעוּ,והגיעו
וְלָאִיִּים,ולאיים
הָרְחוֹקִים,הרחוקים
וְרָבְתָה,ורבתה
קְטָטָה,קטטה
וְנִשְׁתַּבְּשׁוּ,ונשתבשו
הַדְּרָכִים,הדרכים
בִּגְיָסוֹת,בגייסות
וְנִתְמַעַט,ונתמעט
תַּלְמוּד,תלמוד
נִתְכַּנְּסוּ,נתכנסו
לִלְמֹד,ללמוד
בִּישִׁיבוֹתֵיהֶם,בישיבותיהם
מִקֹּדֶם,מקודם
מִתְקַבְּצִים,מתקבצים
יְחִידִים,יחידים
הַשְּׂרִידִים,השרידים
קוֹרֶא,קורא
עִיר,עיר
וְעִיר,ועיר
וּבְכָל,ובכל
מְדִינָה,מדינה
וּמְדִינָה,ומדינה
וְעוֹסְקִים,ועוסקים
בַּתּוֹרָה,בתורה
וּמְבִינִים,ומבינים
בְּחִבּוּרֵי,בחיבורי
וְיוֹדְעִים,ויודעים
דֶּרֶךְ,דרך
הַמִּשְׁפָּט,המשפט
הֵיאַךְ,היאך
שֶׁעָמַד,שעמד
וְגָזַר,וגזר
הִתְקִין,התקין
הִנְהִיג,הנהיג
לִבְנֵי,לבני
מְדִינָתוֹ,מדינתו
מְדִינוֹת,מדינות
פָשְׁטוּ,פשטו
מַעֲשָׂיו,מעשיו
מִפְּנֵי,מפני
רֹחַק,רוחק
וְשִׁבּוּשׁ,ושיבוש
וֶהֱיוֹת,והיות
הַמְּדִינָה,המדינה
בָּטַל,בטל
מִכַּמָּה,מכמה
שָׁנִים,שנים
לְפִיכָּךְ,לפיכך
אֵין,אין
כּוֹפִין,כופין
לִנְהֹג,לנהוג
בְּמִנְהַג,במנהג
אַחֶרֶת,אחרת
וְאֵין,ואין
אוֹמְרִין,אומרין
לְבֵית,לבית
לִגְזֹר,לגזור
גְּזֵרָה,גזירה
שֶׁגְּזָרָהּ,שגזרה
אַחֵר,אחר
בִּמְדִינָתוֹ,במדינתו
אִם,אם
הַגְּאוֹנִים,הגאונים
שֶׁדֶּרֶךְ,שדרך
וְנִתְבָּאַר,ונתבאר
אַחֲרָיו,אחריו
שְׁאֵין,שאין
הַכָּתוּב,הכתוב
שׁוֹמְעִין,שומעין
לָרִאשׁוֹן,לראשון
לְמִי,למי
שֶׁהַדַּעַת,שהדעת
נוֹטָה,נוטה
לִדְבָרָיו,לדבריו
בֵּין,בין
רִאשׁוֹן,ראשון
אַחֲרוֹן,אחרון
הַלָּלוּ,הללו
וּגְזֵרוֹת,וגזירות
וְתַקָּנוֹת,ותקנות
וּמִנְהָגוֹת,ומנהגות
אֲבָל,אבל
הַדְּבָרִים,הדברים
שֶׁבַּתַּלְמוּד,שבתלמוד
חַיָּבִין,חייבין
לָלֶכֶת,ללכת
בָּהֶם,בהם
וְכוֹפִין,וכופין
וְלִגְזֹר,ולגזור
וְלָלֶכֶת,וללכת
בְּתַקָּנוֹתָם,בתקנותם
הוֹאִיל,הואיל
הִסְכִּימוּ,הסכימו
עֲלֵיהֶם,עליהם
וְאוֹתָן,ואותן
שֶׁהִנְהִיגוּ,שהנהיגו
שֶׁדָּנוּ,שדנו
וְלִמְּדוּ,ולמדו
שֶׁהַמִּשְׁפָּט,שהמשפט
רֻבָּן,רובן
הַקַּבָּלָה,הקבלה
בְּעִיקְרֵי,בעיקרי
שֶׁעָמְדוּ,שעמדו
וּבָנוּ,ובנו
בּוֹ,בו
וְיָצָא,ויצא
לָהֶם,להם
שֵׁם,שם
בְּחָכְמָתָם,בחכמתם
הַנִּקְרָאִים,הנקראים
גְּאוֹנִים,גאונים
וּבְאֶרֶץ,ובארץ
וּבִסְפָרַד,ובספרד
וּבְצָרְפַת,ובצרפת
לִמְּדוּ,לימדו
וְהוֹצִיאוּ,והוציאו
לָאוֹר,לאור
תַּעֲלוּמוֹתָיו,תעלומותיו
וּבֵאֲרוּ,וביארו
עִנְיָנָיו,ענייניו
עֲמוּקָה,עמוקה
דַּרְכּוֹ,דרכו
לִמְאוֹד,למאוד
וְעוֹד,ועוד
בִּלְשׁוֹן,בלשון
אֲרַמִּי,ארמי
מְעֹרָב,מעורב
עִם,עם
לְשׁוֹנוֹת,לשונות
אֲחֵרוֹת,אחרות
שֶׁאוֹתָהּ,שאותה
הַלָּשׁוֹן,הלשון
הָיְתָה,הייתה
בְּרוּרָה,ברורה
בְּשִׁנְעָר,בשנער
בָּעֵת,בעת
שֶׁחֻבַּר,שחובר
בִּשְׁאָר,בשאר
הַמְּקוֹמוֹת,המקומות
אָדָם,אדם
מַכִּיר,מכיר
אוֹתָהּ,אותה
לָשׁוֹן,לשון
שֶׁמְּלַמְּדִים,שמלמדים
וּשְׁאֵלוֹת,ושאלות
רַבּוֹת,רבות
שׁוֹאֲלִין,שואלין
גָּאוֹן,גאון
בִּימֵיהֶם,בימיהם
קָשִׁים,קשים
מְשִׁיבִים,משיבים
חָכְמָתָם,חכמתם
הַשּׁוֹאֲלִין,השואלין
מְקַבְּצִין,מקבצין
הַתְּשׁוּבוֹת,התשובות
וְעוֹשִׂין,ועושין
מֵהֶן,מהן
סְפָרִים,ספרים
לְהָבִין,להבין
מִי,מי
שֶׁפֵּרַשׁ,שפירש
הֲלָכוֹת,הלכות
יְחִידוֹת,יחידות
פְּרָקִים,פרקים
שֶׁנִּתְקַשּׁוּ,שנתקשו
בְּיָמָיו,בימיו
מַסֶּכְתּוֹת,מסכתות
וּסְדָרִים,וסדרים
פְּסוּקוֹת,פסוקות
בְּעִנְיַן,בעניין
בִּדְבָרִים,בדברים
שֶׁהַשָּׁעָה,שהשעה
צְרִיכָה,צריכה
שֶׁיִּהְיוּ,שיהיו
קְרוֹבִין,קרובין
לְמַדַּע,למדע
שְׁאֵינוּ,שאינו
יָכוֹל,יכול
לֵירַד,לירד
לְעָמְקוֹ,לעומקו
וְזוֹ,וזו
מְלֶאכֶת,מלאכת
שֶׁעָשׂוּ,שעשו
גְּאוֹנֵי,גאוני
מִיּוֹם,מיום
זְמָן,זמן
שְׁמִינִית,שמינית
וְאֶלֶף,ואלף
לְחָרְבָּן,לחורבן
וּבַזְּמָן,ובזמן
תָּכְפוּ,תכפו
צָרוֹת,צרות
יְתֵרוֹת,יתרות
וְדָחֲקָה,ודחקה
שָׁעָה,שעה
וְאָבְדָה,ואבדה
חָכְמַת,חכמת
חֲכָמֵינוּ,חכמינו
וּבִינַת,ובינת
נְבוֹנֵינוּ,נבונינו
נִסְתַּתְּרָה,נסתתרה
הַפֵּרוּשִׁין,הפירושין
וְהַתְּשׁוּבוֹת,והתשובות
וְהַהֲלָכוֹת,וההלכות
שֶׁחִבְּרוּ,שחיברו
וְרָאוּ,וראו
שְׁהֶם,שהם
מְבֹאָרִים,מבוארים
נִתְקַשּׁוּ,נתקשו
בְּיָמֵינוּ,בימינו
מֵבִין,מבין
עִנְיְנֵיהֶם,ענייניהם
כָּרָאוּי,כראוי
מְעַט,מעט
בְּמִסְפָּר,במספר
צָרִיךְ,צריך
לוֹמַר,לומר
עַצְמוֹ,עצמו
וְהַיְּרוּשְׁלְמִי,והירושלמי
וְסִפְרָא,וספרא
וְהַתּוֹסֶפְתּוֹת,והתוספתות
שְׁהֶן,שהן
צְרִיכִין,צריכין
דַּעַת,דעת
רְחָבָה,רחבה
וְנֶפֶשׁ,ונפש
חֲכָמָה,חכמה
וּזְמָן,וזמן
אָרוּךְ,ארוך
יִוָּדַע,ייוודע
הַדֶּרֶךְ,הדרך
הַנְּכוֹחָה,הנכוחה
בַּדְּבָרִים,בדברים
הָאֲסוּרִין,האסורין
וְהַמֻּתָּרִין,והמותרין
וּשְׁאָר,ושאר
דִּינֵי,דיני
מא,מא
נָעַרְתִּי,נערתי
חָצְנִי,חוצני
אֲנִי,אני
בֵּירִבִּי,בירבי
מַיְמוֹן,מיימון
הַסְּפָרַדִּי,הספרדי
וְנִשְׁעַנְתִּי,ונשענתי
הַצּוּר,הצור
בָּרוּךְ,ברוך
וּבִינוֹתִי,ובינותי
הַסְּפָרִים,הספרים
וְרָאִיתִי,וראיתי
לְחַבַּר,לחבר
הַמִּתְבָּרְרִים,המתבררים
