Chaser, Maleh
מִבְּרִיָּתוֹ,מברייתו
שֶׁל,של
עוֹלָם,עולם
עֶרֶב,ערב
וַיְהִי,ויהי
בֹקֶר,בקר
יוֹם,יום
אִי,אי
הָכִי,הכי
סֵיפָא,סיפא
בַּשַּׁחַר,בשחר
מְבָרֵךְ,מברך
שְׁתַּיִם,שתים
לְפָנֶיהָ,לפניה
וְאַחַת,ואחת
לְאַחֲרֶיהָ,לאחריה
בָּעֶרֶב,בערב
וּשְׁתַּיִם,ושתים
דְּעַרְבִית,דערבית
פָּתַח,פתח
וַהֲדַר,והדר
תָּנֵי,תני
בְּשַׁחֲרִית,בשחרית
דְּקָאֵי,דקאי
פָּרֵשׁ,פריש
מִלֵּי,מילי
דְשַׁחֲרִית,דשחרית
דְעַרְבִית,דערבית
מָר,מר
מִכְּדִי,מכדי
כֹּהֲנִים,כהנים
קָא,קא
אָכְלִי,אכלי
תְּרוּמָה,תרומה
מִשְּׁעַת,משעת
צֵאת,צאת
הַכּוֹכָבִים,הכוכבים
מִלְּתָא,מילתא
אַגַּב,אגב
אוֹרְחֵהּ,אורחיה
קָמַשְׁמַע,קמשמע
לַן,לן
בִּתְרוּמָה,בתרומה
וְהָא,והא
דְּכַפָּרָה,דכפרה
לָא,לא
מְעַכְּבָא,מעכבא
כִּדְתַנְיָא,כדתניא
וּבָא,ובא
הַשֶּׁמֶשׁ,השמש
וְטָהֵר,וטהר
בִּיאַת,ביאת
שִׁמְשׁוֹ,שמשו
מְעַכַּבְתּוֹ,מעכבתו
מִלֶּאֱכוֹל,מלאכול
וְאֵין,ואין
כַּפָּרָתוֹ,כפרתו
וּמִמַּאי,וממאי
דְּהַאי,דהאי
וְהַאי,והאי
טְהַר,טהר
יוֹמָא,יומא
דִּלְמָא,דילמא
אוֹרוֹ,אורו
הוּא,הוא
וּמַאי,ומאי
גַּבְרָא,גברא
רַבָּהּ,רבה
בַּר,בר
רַב,רב
שֵׁילָא,שילא
לֵימָא,לימא
קְרָא,קרא
וְיִטְהָר,ויטהר
כִּדְאָמְרִי,כדאמרי
אִינָשֵׁי,אינשי
אִעֲרַב,איערב
שִׁמְשָׁא,שימשא
וְאִדַּכִּי,ואדכי
בְּמַעְרְבָא,במערבא
הָא,הא
דְּרַבָּהּ,דרבה
שְׁמִעַ,שמיע
לְהוּ,להו
וּבְעוֹ,ובעו
לַהּ,לה
מִבַּעְיָא,מיבעיא
הַאי,האי
טַהַר,טהר
אוֹ,או
דִלְמָא,דלמא
פָּשְׁטוּ,פשטו
לָה,לה
מִבָּרָיְתָא,מברייתא
מִדְּקָתְנֵי,מדקתני
בַּבְּרִיָּתָא,בברייתא
סִימָן,סימן
לְדַבַּר,לדבר
מִינַהּ,מינה
וּרְמִינְהוּ,ורמינהו
מִשֶּׁהֶעָנִי,משהעני
נִכְנָס,נכנס
לֶאֱכוֹל,לאכול
פִּתּוֹ,פתו
בְּמֶלַח,במלח
שָׁעָה,שעה
שֶׁעוֹמֵד,שעומד
לִפָּטֵר,ליפטר
מִתּוֹךְ,מתוך
סְעֻדָּתוֹ,סעודתו
וַדַּאי,ודאי
פְּלִיגָא,פליגא
אַמַּתְנִיתִין,אמתניתין
רֵישָׁא,רישא
מִי,מי
פְּלִיגִי,פליגי
עָנִי,עני
וְכֹהֵן,וכהן
חַד,חד
שִׁעוּרָא,שיעורא
מַתְחִילִין,מתחילין
שֶׁבְּנֵי,שבני
פִּתָּן,פיתן
בְּעַרְבֵי,בערבי
שַׁבָּתוֹת,שבתות
זַכָּאִין,זכאין
לַדָּבָר,לדבר
שֶׁאֵין,שאין
רְאָיָה,ראיה
זֵכֶר,זכר
שֶׁנֶּאֱמַר,שנאמר
וַאֲנַחְנוּ,ואנחנו
עֹשִׂים,עושים
בַּמְּלָאכָה,במלאכה
וְחֶצְיָם,וחצים
מַחֲזִיקִים,מחזיקים
בָּרְמָחִים,ברמחים
מֵעֲלוֹת,מעלות
וְאוֹמֵר,ואומר
וְהָיוּ,והיו
לָנוּ,לנו
הַלַּיְלָה,הלילה
מִשְׁמָר,משמר
וְהַיּוֹם,והיום
מְלָאכָה,מלאכה
וְכִי,וכי
תֵּימָא,תימא
מִכִּי,מכי
עָרְבָא,ערבא
לֵילְיָא,ליליא
וְאִינְהוּ,ואינהו
דְּמַחְשְׁכִי,דמחשכי
וּמַקְדְּמִי,ומקדמי
סָלְקָא,סלקא
דַּעְתָּךְ,דעתך
דְּעָנִי,דעני
וּבְנֵי,ובני
אָמְרַתְּ,אמרת
הָיִינוּ,היינו
רַבִּי,רבי
מֵאִיר,מאיר
מִנַּהּ,מינה
לְחוּד,לחוד
וְעָנִי,ועני
לָאו,לאו
שֶׁקָּדַשׁ,שקדש
הַיּוֹם,היום
יְהוֹשֻׁעַ,יהושע
מְטֹהָרִים,מטוהרים
טוֹבְלִין,טובלין
יְהוּדָה,יהודה
וַהֲלֹא,והלא
מִבְּעוֹד,מבעוד
הֵם,הם
טוֹבְלִים,טובלים
חֲנִינָא,חנינא
שֶׁעָנִי,שעני
אַחַאי,אחאי
וְאָמְרִי,ואמרי
אַחָא,אחא
שֶׁרֹב,שרוב
בְּנֵי,בני
לְהָסֵב,להסב
הַיְנוּ,היינו
וְשִׁעוּרָא,ושעורא
דְּכֹהֵן,דכהן
הֵי,הי
מִנַּיְהוּ,מינייהו
מְאֻחָר,מאוחר
מִסְתַּבְּרָא,מסתברא
דְּאִי,דאי
אָמַרְתָּ,אמרת
מֻקְדָּם,מוקדם
אֲמַר,אמר
לֵהּ,ליה
שַׁפִּיר,שפיר
קָאֲמַר,קאמר
לְרַבִּי,לרבי
וְרַבִּי,ורבי
סָבְרַתְּ,סברת
דַּאֲנָא,דאנא
אַבֵּין,אבין
הַשְּׁמָשׁוֹת,השמשות
דִּידָךְ,דידך
אָמֵינָא,אמינא
אֲנָא,אנא
אַבֵּן,אבין
דְּרַבִּי,דרבי
יוֹסֵי,יוסי
דְּאָמַר,דאמר
יוֹסִי,יוסי
בֵּין,בין
כְּהֶרֶף,כהרף
עַיִן,עין
זֶה,זה
וְזֶה,וזה
יוֹצֵא,יוצא
אֶפְשָׁר,אפשר
לַעֲמֹד,לעמוד
עָלָיו,עליו
קַשְׁיָא,קשיא
תְּרֵי,תרי
תַּנָּאֵי,תנאי
אַלִּבָּא,אליבא
הִיא,היא
קָסָבַר,קסבר
שָׁלֹשׁ,שלש
מִשְׁמָרוֹת,משמרות
הָוֵי,הוי
אַרְבַּע,ארבע
שָׁעוֹת,שעות
לְעוֹלָם,לעולם
דְּאִיכָּא,דאיכא
בָּרָקִיעַ,ברקיע
וְאִיכָּא,ואיכא
בְּאַרְעָא,בארעא
דְּתַנְיָא,דתניא
וְעַל,ועל
וּמִשְׁמָר,ומשמר
יוֹשֵׁב,יושב
וְשׁוֹאֵג,ושואג
כָּאֲרִי,כארי
ה',ה'
מִמָּרוֹם,ממרום
יִשְׁאָג,ישאג
וּמִמְּעוֹן,וממעון
קָדְשׁוֹ,קדשו
יִתֵּן,יתן
קוֹלוֹ,קולו
שָׁאֹג,שאוג
יִשְׁאַג,ישאג
עַל,על
נָוֵהוּ,נוהו
וְסִימָן,וסימן
מִשְׁמָרָה,משמרה
רִאשׁוֹנָה,ראשונה
חֲמוֹר,חמור
נוֹעֵר,נוער
שְׁנִיָּה,שניה
כְּלָבִים,כלבים
צוֹעֲקִים,צועקים
שְׁלִישִׁית,שלישית
תִּינוֹק,תינוק
יוֹנֵק,יונק
מִשְּׁדֵי,משדי
אִמּוֹ,אמו
וְאִשָּׁה,ואשה
מְסַפֶּרֶת,מספרת
עִם,עם
בַּעֲלָהּ,בעלה
חָשֵׁיב,חשיב
תְּחִלַּת,תחלת
סִימָנָא,סימנא
לְמָה,למה
לִי,לי
אוּרְתָּא,אורתא
אַחֲרוֹנָה,אחרונה
יְמָמָא,יממא
וּתְחִלַּת,ותחלת
וְאֶמְצָעִית,ואמצעית
דְּאֶמְצָעִיתָא,דאמצעיתא
כֻּלְּהוּ,כולהו
צְרִיךְ,צריך
לְמַאי,למאי
נָפְקָא,נפקא
לְמִיקְרֵי,למיקרי
לְמַאן,למאן
דְּגָנֵי,דגני
בְּבַיִת,בבית
אָפֵל,אפל
וְלָא,ולא
יָדַע,ידע
כֵּיוָן,כיון
דְּאִשָּׁה,דאשה
וְתִינוֹק,ותינוק
לִיקוּם,ליקום
וְלִקְרֵי,וליקרי
יִצְחָק,יצחק
שְׁמוּאֵל,שמואל
דְּרַב,דרב
כַּאֲרִי,כארי
אוֹי,אוי
בֵּיתִי,ביתי
וְשָׂרַפְתִּי,ושרפתי
הֵיכָלִי,היכלי
לְבֵין,לבין
אֻמּוֹת,אומות
הָעוֹלָם,העולם
תָּנִיא,תניא
פַּעַם,פעם
אַחַת,אחת
הָיִיתִי,הייתי
מְהַלֵּךְ,מהלך
בַּדֶּרֶךְ,בדרך
וְנִכְנַסְתִּי,ונכנסתי
לְחֻרְבָּה,לחורבה
מֵחֻרְבוֹת,מחורבות
יְרוּשָׁלַיִם,ירושלים
לְהִתְפַּלֵּל,להתפלל
בָּא,בא
אֵלִיָּהוּ,אליהו
זָכוּר,זכור
לַטּוֹב,לטוב
וְשָׁמַר,ושמר
הַפֶּתַח,הפתח
וְהִמְתִּין,והמתין
שֶׁסִּיַּמְתִּי,שסיימתי
תְּפִלָּתִי,תפלתי
לְאַחַר,לאחר
שָׁלוֹם,שלום
עָלֶיךָ,עליך
וְאָמַרְתִּי,ואמרתי
וּמוֹרִי,ומורי
וְאָמַר,ואמר
בְּנִי,בני
מִפְּנֵי,מפני
מָה,מה
נִכְנַסְתָּ,נכנסת
אָמַרְתִּי,אמרתי
הָיָה,היה
לְךָ,לך
מִתְיָרֵא,מתיירא
שֶׁמָּא,שמא
יַפְסִיקוּ,יפסיקו
בִּי,בי
עוֹבְרֵי,עוברי
דְּרָכִים,דרכים
תְּפִלָּה,תפלה
קְצָרָה,קצרה
בְּאוֹתָהּ,באותה
לָמַדְתִּי,למדתי
מִמֶּנּוּ,ממנו
שְׁלֹשָׁה,שלשה
דְּבָרִים,דברים
וְלָמַדְתִּי,ולמדתי
שֶׁמִּתְפַּלְּלִין,שמתפללין
שֶׁהַמִּתְפַּלֵּל,שהמתפלל
בְּדֶרֶךְ,בדרך
מִתְפַּלֵּל,מתפלל
קוֹל,קול
שָׁמַעְתָּ,שמעת
בְּחֻרְבָּה,בחורבה
שָׁמַעְתִּי,שמעתי
בַּת,בת
שֶׁמְּנַהֶמֶת,שמנהמת
כְּיוֹנָה,כיונה
וְאוֹמֶרֶת,ואומרת
הָאֻמּוֹת,האומות
חַיֶּיךָ,חייך
וְחַיֵּי,וחיי
רֹאשְׁךָ,ראשך
אוֹמֶרֶת,אומרת
כָּךְ,כך
בְּכׇל,בכל
וָיוֹם,ויום
פְּעָמִים,פעמים
בְּשָׁעָה,בשעה
שֶׁיִּשְׂרָאֵל,שישראל
לְבָתֵּי,לבתי
כְּנֵסִיּוֹת,כנסיות
וּלְבָתֵּי,ולבתי
מִדְרָשׁוֹת,מדרשות
וְעוֹנִין,ועונין
יְהֵא,יהא
שְׁמֵהּ,שמיה
הַגָּדוֹל,הגדול
מְבוֹרָךְ,מבורך
מְנַעְנֵעַ,מנענע
רֹאשׁוֹ,ראשו
אַשְׁרֵי,אשרי
הַמֶּלֶךְ,המלך
שֶׁמְּקַלְּסִין,שמקלסין
אוֹתוֹ,אותו
בְּבֵיתוֹ,בביתו
לּוֹ,לו
לָאָב,לאב
שֶׁהִגְלָה,שהגלה
בָּנָיו,בניו
וְאוֹי,ואוי
לַבָּנִים,לבנים
שֶׁגָּלוּ,שגלו
מֵעַל,מעל
שֻׁלְחַן,שולחן
אֲבִיהֶם,אביהם
אֵין,אין
חֲשָׁד,חשד
הַמַּפּוֹלֶת,המפולת
וּמִפְּנֵי,ומפני
הַמַּזִּיקִין,המזיקין
וְתִפּוֹק,ותיפוק
מִשּׁוּם,משום
מַפּוֹלֶת,מפולת
בְּחַדְתִּי,בחדתי
מַזִּיקִין,מזיקין
בִּתְרֵי,בתרי
נָמֵי,נמי
לֵיכָּא,ליכא
וּפְרִיצִי,ופריצי
וּמַזִּיקִין,ומזיקין
וּכְשֵׁרֵי,וכשרי
וּמַפּוֹלֶת,ומפולת
חַדְתִּי,חדתי
וּבִתְרֵי,ובתרי
בִּמְקוֹמָן,במקומן
חָיְשִׁינַן,חיישינן
בְּחַד,בחד
וּבְחֻרְבָּה,ובחורבה
בְּדַבְרָא,בדברא
דְּהָתָם,דהתם
דְּהָא,דהא
אִשָּׁה,אשה
שְׁכִיחָא,שכיחא
וּמִשּׁוּם,ומשום
אִיכָּא,איכא
נָתָן,נתן
וַיָּבֹא,ויבא
גִדְעוֹן,גדעון
וּמֵאָה,ומאה
אִישׁ,איש
אֲשֶׁר,אשר
אִתּוֹ,אתו
בִּקְצֵה,בקצה
הַמַּחֲנֶה,המחנה
רֹאשׁ,ראש
הָאַשְׁמֹרֶת,האשמורת
הַתִּיכוֹנָה,התיכונה
תָּנָא,תנא
תִּיכוֹנָה,תיכונה
שֶׁיֵּשׁ,שיש
וּלְאַחֲרֶיהָ,ולאחריה
שֶׁבַּתִּיכוֹנוֹת,שבתיכונות
כְּתִיב,כתיב
זְרִיקָא,זריקא
אַמֵּי,אמי
בֶּן,בן
לֵוִי,לוי
כָּתוּב,כתוב
לַיְלָה,לילה
אָקוּם,אקום
לְהוֹדוֹת,להודות
לָךְ,לך
מִשְׁפְּטֵי,משפטי
צִדְקֶךָ,צדקך
וְכָתוּב,וכתוב
קִדְּמוּ,קדמו
עֵינַי,עיני
אַשְׁמוּרוֹת,אשמורות
כֵּיצַד,כיצד
סָבַר,סבר
כְּרַבִּי,כרבי
דִּתְנַן,דתנן
שֶׁכֵּן,שכן
דֶּרֶךְ,דרך
מְלָכִים,מלכים
לַעֲמוֹד,לעמוד
בְּשָׁלֹשׁ,בשלש
שֵׁת,שית
דְּלֵילְיָא,דליליא
וְתַרְתֵּי,ותרתי
דִּימָמָא,דיממא
הָווּ,הוו
שְׁתֵּי,שתי
אָשֵׁי,אשי
וּפַלְגָא,ופלגא
קָרוּ,קרו
אוֹמְרִין,אומרין
בִּפְנֵי,בפני
הַמֵּת,המת
דְּבָרָיו,דבריו
מֵת,מת
אַבָּא,אבא
כָּהֲנָא,כהנא
אֲמַרַן,אמרן
בְּדִבְרֵי,בדברי
תּוֹרָה,תורה
אֲבָל,אבל
דְעָלְמָא,דעלמא
לֵית,לית
בַּהּ,בה
דְאָמְרִי,דאמרי
אֲפִילּוּ,אפילו
וְדָוִד,ודוד
בְּפַלְגָא,בפלגא
דְלֵילְיָא,דליליא
הֲוָה,הוה
מֵאוּרְתָּא,מאורתא
קִדַּמְתִּי,קדמתי
בַנֶּשֶׁף,בנשף
וָאֲשַׁוֵּעָה,ואשועה
נֶשֶׁף,נשף
בְּנֶשֶׁף,בנשף
בְּעֶרֶב,בערב
בְּאִישׁוֹן,באישון
וַאֲפֵלָה,ואפילה
אוֹשַׁעְיָא,אושעיא
קָאָמַר,קאמר
דָּוִד,דוד
מֵעוֹלָם,מעולם
עָבַר,עבר
עָלַי,עלי
בְּשֵׁינָה,בשינה
זֵירָא,זירא
מִתְנַמְנֵם,מתנמנם
כְּסוּס,כסוס
מִכָּאן,מכאן
וְאֵילָךְ,ואילך
מִתְגַּבֵּר,מתגבר
עוֹסֵק,עוסק
בְּשִׁירוֹת,בשירות
וְתִשְׁבָּחוֹת,ותשבחות
וְנֶשֶׁף,ונשף
צַפְרָא,צפרא
וַיַּכֵּם,ויכם
מֵהַנֶּשֶׁף,מהנשף
וְעַד,ועד
הָעֶרֶב,הערב
לְמָחֳרָתָם,למחרתם
מִצַּפְרָא,מצפרא
לִכְתּוֹב,ליכתוב
הַנֶּשֶׁף,הנשף
מֵהָעֶרֶב,מהערב
רָבָא,רבא
נִשְׁפֵי,נשפי
נְשַׁף,נשף
וְאָתֵי,ואתי
פַּלְגָא,פלגא
הַשְׁתָּא,השתא
מֹשֶׁה,משה
רַבֵּינוּ,רבינו
כַּחֲצוֹת,כחצות
אֲנִי,אני
בְּתוֹךְ,בתוך
מִצְרָיִם,מצרים
אִילֵימָא,אילימא
דַּאֲמַר,דאמר
קֻדְשָׁא,קודשא
בְּרִיךְ,בריך
סְפֵיקָא,ספיקא
קַמֵּי,קמי
שְׁמַיָּא,שמיא
לִמְחַר,למחר
בַּחֲצוֹת,בחצות
כִּי,כי
וַאֲתָא,ואתא
אִיהוּ,איהו
אַלְמָא,אלמא
מְסַפְּקָא,מספקא
בִּזְנָא,ביזנא
שִׁמְעוֹן,שמעון
חֲסִידָא,חסידא
כִּנּוֹר,כנור
תָּלוּי,תלוי
לְמַעְלָה,למעלה
מִמִּטָּתוֹ,ממטתו
וְכֵיוָן,וכיון
שֶׁהִגִּיעַ,שהגיע
רוּחַ,רוח
צְפוֹנִית,צפונית
וְנוֹשֶׁבֶת,ונושבת
בּוֹ,בו
וּמְנַגֵּן,ומנגן
מֵאֵלָיו,מאליו
מִיָּד,מיד
עוֹמֵד,עומד
וְעוֹסֵק,ועוסק
בַּתּוֹרָה,בתורה
שֶׁעָלָה,שעלה
נִכְנְסוּ,נכנסו
חַכְמֵי,חכמי
יִשְׂרָאֵל,ישראל
אֶצְלוֹ,אצלו
אֲדוֹנֵינוּ,אדונינו
עַמְּךָ,עמך
צְרִיכִין,צריכין
פַּרְנָסָה,פרנסה
לְכוּ,לכו
וְהִתְפַּרְנְסוּ,והתפרנסו
מִזֶּה,מזה
הַקּוֹמֶץ,הקומץ
מַשְׂבִּיעַ,משביע
הָאֲרִי,הארי
הַבּוֹר,הבור
מִתְמַלֵּא,מתמלא
מֵחֻלְיָתוֹ,מחוליתו
וּפִשְׁטוּ,ופשטו
יְדֵיכֶם,ידיכם
בִּגְדוּד,בגדוד
יוֹעֲצִים,יועצים
בַּאֲחִיתוֹפֶל,באחיתופל
וְנִמְלָכִין,ונמלכין
בְּסַנְהֶדְרִין,בסנהדרין
וְשׁוֹאֲלִין,ושואלין
בְּאוּרִים,באורים
וְתֻמִּים,ותומים
יוֹסֵף,יוסף
וְאַחֲרֵי,ואחרי
אֲחִיתֹפֶל,אחיתופל
בְּנָיָהוּ,בניהו
יְהוֹיָדָע,יהוידע
וְאֶבְיָתָר,ואביתר
וְשַׂר,ושר
צָבָא,צבא
לַמֶּלֶךְ,למלך
יוֹאָב,יואב
אֲחִיתוֹפֶל,אחיתופל
יוֹעֵץ,יועץ
וַעֲצַת,ועצת
יָעַץ,יעץ
בַּיָּמִים,בימים
הָהֵם,ההם
כַּאֲשֶׁר,כאשר
יִשְׁאַל,ישאל
בִּדְבַר,בדבר
הָאֱלֹהִים,האלהים
סַנְהֶדְרִין,סנהדרין
אֵלּוּ,אלו
אוּרִים,אורים
וְכֵן,וכן
וּבְנָיָהוּ,ובניהו
הַכְּרֵתִי,הכרתי
הַפְּלֵתִי,הפלתי
וְלָמָּה,ולמה
נִקְרָא,נקרא
שְׁמָם,שמם
כְּרֵתִי,כרתי
וּפְלֵתִי,ופלתי
שֶׁכּוֹרְתִים,שכורתים
דִּבְרֵיהֶם,דבריהם
פְּלֵתִי,פלתי
שֶׁמֻּפְלָאִים,שמופלאים
בְּדִבְרֵיהֶם,בדבריהם
שַׂר,שר
אַדָּא,אדא
בְּרֵהּ,בריה
אִידִי,אידי
עוּרָה,עורה
כְבוֹדִי,כבודי
הַנֵּבֶל,הנבל
וְכִנּוֹר,וכנור
אָעִירָה,אעירה
שָּׁחַר,שחר
דְּדָוִד,דדוד
לְאִתְּעוֹרֵי,לאתעורי
מִשִּׁנְתֵּהּ,משנתיה
דְּמֹשֶׁה,דמשה
לְמֵמַר,למימר
יִטְעוּ,יטעו
אִצְטַגְנִינֵי,איצטגניני
פַּרְעֹה,פרעה
וְיֹאמְרוּ,ויאמרו
בַּדַּאי,בדאי
לַמֵּד,למד
לְשׁוֹנְךָ,לשונך
לוֹמַר,לומר
אֵינִי,איני
יוֹדֵעַ,יודע
תִּתְבַּדֶּה,תתבדה
וְתֵאָחֵז,ותאחז
דִּתְלֵיסַר,דתליסר
נָגְהֵי,נגהי
אַרְבֵּסַר,ארבסר
לְיִשְׂרָאֵל,לישראל
לְמָחָר,למחר
הָאִדָּנָא,האידנא
לְדָוִד,לדוד
שָׁמְרָה,שמרה
נַפְשִׁי,נפשי
חָסִיד,חסיד
אָנִי,אני
לִפְנֵי,לפני
רִבּוֹנוֹ,רבונו
שֶׁכׇּל,שכל
מַלְכֵי,מלכי
מִזְרָח,מזרח
וּמַעֲרָב,ומערב
יְשֵׁנִים,ישנים
וַאֲנִי,ואני
וְאִדָּךְ,ואידך
יוֹשְׁבִים,יושבים
אֲגֻדּוֹת,אגודות
בִּכְבוֹדָם,בכבודם
יָדַי,ידי
מְלֻכְלָכוֹת,מלוכלכות
בְּדָם,בדם
וּבְשָׁפִיר,ובשפיר
וּבְשִׁלְיָא,ובשליא
לְטַהֵר,לטהר
לְבַעֲלָהּ,לבעלה
עוֹד,עוד
שֶׁאֲנִי,שאני
עוֹשֶׂה,עושה
נִמְלָךְ,נמלך
בִּמְפִיבֹשֶׁת,במפיבשת
מְפִיבֹשֶׁת,מפיבשת
יָפֶה,יפה
דַּנְתִּי,דנתי
חִיַּבְתִּי,חייבתי
זִכִּיתִי,זכיתי
טִהַרְתִּי,טהרתי
טִמֵּאתִי,טמאתי
בֹּשְׁתִּי,בושתי
וַאֲדַבְּרָה,ואדברה
בְעֵדֹתֶיךָ,בעדותיך
נֶגֶד,נגד
אֵבוֹשׁ,אבוש
שְׁמוֹ,שמו
בּשֶׁת,בשת
שֶׁהָיָה,שהיה
מְבַיֵּשׁ,מבייש
פְּנֵי,פני
בַּהֲלָכָה,בהלכה
לְפִיכָךְ,לפיכך
זָכָה,זכה
וְיָצָא,ויצא
כִּלְאָב,כלאב
יוֹחָנָן,יוחנן
דָּנִיאֵל,דניאל
מַכְלִים,מכלים
וְעָלָיו,ועליו
שְׁלֹמֹה,שלמה
בְּחָכְמָתוֹ,בחכמתו
חָכַם,חכם
לִבֶּךָ,לבך
יִשְׂמַח,ישמח
לִבִּי,לבי
גַם,גם
חֲכַם,חכם
וְשַׂמַּח,ושמח
וְאָשִׁיבָה,ואשיבה
חֹרְפִי,חרפי
דָבָר,דבר
קָרֵי,קרי
לְנַפְשֵׁהּ,לנפשיה
וְהָכְתִיב,והכתיב
לוּלֵא,לולא
הֶאֱמַנְתִּי,האמנתי
לִרְאוֹת,לראות
בְּטוּב,בטוב
בְּאֶרֶץ,בארץ
חַיִּים,חיים
וְתָנָא,ותנא
מִשְּׁמֵהּ,משמיה
לָמָּה,למה
נָקוּד,נקוד
מֻבְטָח,מובטח
בְּךָ,בך
שֶׁאַתָּה,שאתה
מְשַׁלֵּם,משלם
שָׂכָר,שכר
טוֹב,טוב
לְצַדִּיקִים,לצדיקים
לֶעָתִיד,לעתיד
לָבוֹא,לבוא
יֵשׁ,יש
חֵלֶק,חלק
בֵּינֵיהֶם,ביניהם
יִגְרֹם,יגרום
הַחֵטְא,החטא
יַעֲקֹב,יעקב
רָמֵי,רמי
וְהִנֵּה,והנה
אָנֹכִי,אנכי
עִמָּךְ,עמך
וּשְׁמַרְתִּיךָ,ושמרתיך
תֵּלֵךְ,תלך
וּכְתִיב,וכתיב
וַיִּירָא,ויירא
מְאֹד,מאד
יַעֲבֹר,יעבור
עַם,עם
זוּ,זו
קָנִיתָ,קנית
בִּיאָה,ביאה
רְאוּיִם,ראוים
הָיוּ,היו
לֵעָשׂוֹת,ליעשות
נֵס,נס
בִּימֵי,בימי
עֶזְרָא,עזרא
כְּדֶרֶךְ,כדרך
שֶׁנַּעֲשָׂה,שנעשה
בִּן,בן
נוּן,נון
שֶׁגָּרַם,שגרם
כְּמַאן,כמאן
סְבִירָא,סבירא
לֵימְרוּ,לימרו
כְּרַבָּן,כרבן
דְּקָא,דקא
אָמְרִי,אמרי
הָאָדָם,האדם
עָשׂוּ,עשו
סְיָג,סייג
לְדִבְרֵיהֶם,לדבריהם
שֶׁלֹּא,שלא
הַשָּׂדֶה,השדה
אֵלֵךְ,אלך
לְבֵיתִי,לביתי
וְאֹכַל,ואוכל
קִמְעָא,קימעא
וְאֶשְׁתֶּה,ואשתה
וְאִישַׁן,ואישן
אֶקְרָא,אקרא
וְאֶתְפַּלֵּל,ואתפלל
וְחוֹטַפְתּוֹ,וחוטפתו
שֵׁנָה,שינה
וְנִמְצָא,ונמצא
יָשֵׁן,ישן
לְבֵית,לבית
הַכְּנֶסֶת,הכנסת
רָגִיל,רגיל
קוֹרֵא,קורא
וְאִם,ואם
לִשְׁנוֹת,לשנות
שׁוֹנֶה,שונה
וְקוֹרֵא,וקורא
וּמִתְפַּלֵּל,ומתפלל
וְאוֹכֵל,ואוכל
וּמְבָרֵךְ,ומברך
הָעוֹבֵר,העובר
חַיָּב,חייב
מִיתָה,מיתה
דֻּכְתָּא,דוכתא
דְּלָא,דלא
שִׂנֵּא,שנא
הָכָא,הכא
אִיבָּעֵית,איבעית
אֹנֶס,אונס
לְאַפּוֹקֵי,לאפוקי
מִמַּאן,ממאן
תְּפִלַּת,תפלת
